Trial_ID,mAP,Min_Scale,Beta,LR_Adap,Fid_Thr,Alpha,Ortho,Aux
0,75.3817,0.0800,4.00,0.004123,0.92,3.00,0.10,0.20
3,84.4800,0.1300,2.00,0.002143,0.92,2.00,0.80,0.90
2,87.3898,0.0500,2.00,0.001568,0.92,5.00,0.40,0.30
5,87.4492,0.1800,3.50,0.001050,0.93,0.50,1.00,0.90
6,88.7874,0.0400,4.50,0.000303,0.96,3.50,0.90,0.50
7,88.8629,0.0500,3.00,0.000364,0.96,3.00,0.80,0.50
8,88.3102,0.0400,1.50,0.000205,0.96,3.00,0.40,0.30
10,88.2352,0.0400,2.00,0.000672,0.93,0.50,0.60,0.60
9,88.5543,0.1500,2.50,0.000300,0.97,4.50,0.00,0.60
11,89.1415,0.0300,2.00,0.000314,0.95,2.50,0.80,0.20
18,88.9064,0.0200,3.00,0.000634,0.94,2.50,0.80,0.10
20,88.3774,0.0700,1.00,0.000214,0.95,2.50,0.60,0.30
21,88.4623,0.0700,1.00,0.000232,0.95,2.50,0.90,0.70
24,88.6478,0.1100,3.00,0.000856,0.94,1.50,0.40,0.20
45,88.8735,0.1600,3.50,0.000762,0.94,1.00,0.30,0.20
48,88.5649,0.1100,3.50,0.000778,0.93,1.00,0.30,0.30
49,88.4309,0.1400,1.50,0.000380,0.93,2.50,0.30,0.40
51,88.7459,0.1800,1.50,0.000369,0.96,0.50,0.20,0.30
52,88.9629,0.1700,1.50,0.000386,0.96,0.50,0.70,0.10
57,88.9415,0.2000,0.50,0.000260,0.96,0.50,0.20,0.30
63,89.1957,0.0100,0.50,0.000448,0.97,1.00,0.60,0.20
65,88.6193,0.1800,1.50,0.000373,0.96,0.50,0.20,0.20
66,89.0723,0.1600,0.50,0.000441,0.96,0.50,0.20,0.20
67,88.8490,0.1900,0.50,0.000337,0.98,0.50,0.20,0.20
68,89.5671,0.0100,0.50,0.000458,0.98,1.00,0.20,0.20
69,88.7068,0.1600,0.50,0.000471,0.98,1.00,0.20,0.20
70,88.9224,0.1600,0.50,0.000449,0.97,1.00,0.10,0.10
71,88.9712,0.0100,0.50,0.000466,0.98,1.00,0.10,0.30
73,89.0400,0.0200,0.50,0.000258,0.98,1.00,0.50,0.10
80,89.0217,0.0100,0.50,0.000279,0.97,1.50,0.10,0.20
84,89.0860,0.1500,0.50,0.000469,0.97,1.00,0.10,0.10
90,89.1019,0.1500,0.50,0.000500,0.97,1.00,0.10,0.10
91,89.6737,0.1500,0.50,0.000483,0.98,2.00,0.00,0.10
92,89.1039,0.0200,0.50,0.000468,0.98,1.00,0.00,0.10
93,89.8904,0.1500,0.50,0.000491,0.98,2.00,0.00,0.20
94,89.0709,0.1500,0.50,0.000307,0.97,2.00,0.00,0.10
95,89.6206,0.1500,0.50,0.000493,0.98,2.00,0.00,0.10
101,88.9404,0.1600,0.50,0.000615,0.98,2.00,0.00,0.10
104,89.4904,0.1500,0.50,0.000424,0.97,2.00,0.00,0.10
105,89.0696,0.1500,0.50,0.000396,0.97,2.00,0.00,0.10
106,89.1440,0.1500,0.50,0.000398,0.97,1.50,0.00,0.20
114,89.0862,0.1600,0.50,0.000434,0.97,1.00,0.10,0.20
122,89.0590,0.0800,0.50,0.000565,0.98,2.00,0.00,0.20
124,89.5565,0.1600,0.50,0.000411,0.96,1.00,0.20,0.20
125,89.6703,0.1600,0.50,0.000414,0.96,1.00,0.20,0.20
127,89.2235,0.1600,0.50,0.000392,0.96,1.00,0.30,0.30
130,89.5439,0.1600,0.50,0.000504,0.98,1.00,0.30,0.20
134,89.2004,0.1600,0.50,0.000446,0.96,1.00,0.20,0.20
137,89.3471,0.1700,0.50,0.000509,0.98,1.00,0.30,0.30
144,89.9390,0.1600,0.50,0.000415,0.98,1.00,0.30,0.30
145,89.9516,0.1600,0.50,0.000416,0.98,1.00,0.20,0.20
146,89.4104,0.1600,0.50,0.000344,0.98,1.00,0.20,0.30
147,89.8287,0.1600,0.50,0.000410,0.98,1.00,0.20,0.30
149,89.0943,0.1600,0.50,0.000358,0.98,1.00,0.20,0.30
151,89.5429,0.1800,0.50,0.000366,0.98,0.50,0.20,0.40
